time,Blower,Labeller
2020-08-23 05:00:00+00:00,0,0
2020-08-23 06:00:00+00:00,0,0
2020-08-23 07:00:00+00:00,0,0
2020-08-23 08:00:00+00:00,0,0
2020-08-23 09:00:00+00:00,0,0
2020-08-23 10:00:00+00:00,1732,0
2020-08-23 11:00:00+00:00,5751,0
2020-08-23 12:00:00+00:00,28999,0
2020-08-23 13:00:00+00:00,22551.5,0
2020-08-23 14:00:00+00:00,21666.5,0
2020-08-23 15:00:00+00:00,21693,0
2020-08-23 16:00:00+00:00,22648,0
2020-08-23 17:00:00+00:00,23133,0
2020-08-23 18:00:00+00:00,25942.5,0
2020-08-23 19:00:00+00:00,26034.5,0
2020-08-23 20:00:00+00:00,25494,0
2020-08-23 21:00:00+00:00,27591,0
2020-08-23 22:00:00+00:00,27571.5,0
2020-08-23 23:00:00+00:00,27896,0
2020-08-24 00:00:00+00:00,26561.5,0
2020-08-24 01:00:00+00:00,25275,0
2020-08-24 02:00:00+00:00,19740.5,0
2020-08-24 03:00:00+00:00,35500,0
2020-08-24 04:00:00+00:00,22630,0
2020-08-24 05:00:00+00:00,21143.5,0
2020-08-24 06:00:00+00:00,18736,0
2020-08-24 07:00:00+00:00,23422.5,0
2020-08-24 08:00:00+00:00,22809.5,0
2020-08-24 09:00:00+00:00,21139.5,0
2020-08-24 10:00:00+00:00,17159,0
2020-08-24 11:00:00+00:00,22190,0
2020-08-24 12:00:00+00:00,23692.5,0
2020-08-24 13:00:00+00:00,22816.5,0
2020-08-24 14:00:00+00:00,25188,23739
2020-08-24 15:00:00+00:00,22939.5,33180
2020-08-24 16:00:00+00:00,18585,26388
2020-08-24 17:00:00+00:00,22765.5,36246
2020-08-24 18:00:00+00:00,18374.5,24387
2020-08-24 19:00:00+00:00,20112.5,33577
2020-08-24 20:00:00+00:00,22646.5,29120
2020-08-24 21:00:00+00:00,33740,20407
2020-08-24 22:00:00+00:00,21884,29901
2020-08-24 23:00:00+00:00,22746.5,36398
2020-08-25 00:00:00+00:00,24959.5,32773
2020-08-25 01:00:00+00:00,33538,24498
2020-08-25 02:00:00+00:00,4797,3021
2020-08-25 03:00:00+00:00,0,0
2020-08-25 04:00:00+00:00,0,0
2020-08-25 05:00:00+00:00,0,0
2020-08-25 06:00:00+00:00,0,0
2020-08-25 07:00:00+00:00,0,0
2020-08-25 08:00:00+00:00,0,0
2020-08-25 09:00:00+00:00,78,0
2020-08-25 10:00:00+00:00,0,0
2020-08-25 11:00:00+00:00,0,0
2020-08-25 12:00:00+00:00,0,0
2020-08-25 13:00:00+00:00,0,0
2020-08-25 14:00:00+00:00,16,1654
2020-08-25 15:00:00+00:00,50,1132
2020-08-25 16:00:00+00:00,13849,5725
2020-08-25 17:00:00+00:00,34189,21579
2020-08-25 18:00:00+00:00,23631,32411
2020-08-25 19:00:00+00:00,18557.5,27142
2020-08-25 20:00:00+00:00,28916,19280
2020-08-25 21:00:00+00:00,26910.5,23214
2020-08-25 22:00:00+00:00,29094,35586
2020-08-25 23:00:00+00:00,28084.5,31122
2020-08-26 00:00:00+00:00,29857.5,33695
2020-08-26 01:00:00+00:00,26072,31310
2020-08-26 02:00:00+00:00,26238.5,34572
2020-08-26 03:00:00+00:00,22091,30623
2020-08-26 04:00:00+00:00,25764.5,33870
2020-08-26 05:00:00+00:00,22923.5,31461
2020-08-26 06:00:00+00:00,27936,25599
2020-08-26 07:00:00+00:00,19360.5,34699
2020-08-26 08:00:00+00:00,34108,34753
2020-08-26 09:00:00+00:00,25905,27556
2020-08-26 10:00:00+00:00,255,24093
